"Campaign";"Treatment";"Block";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum";"SOC_stock_cum_FD";"Soil_mass";"SOC_stock_FD";"SOC_g_kg"
"Year_x";"T2";"B1";"P03";"i5";3;-20;-35;200;350;"Year_x_P03_i5";5228.513571375;51.3567146974022;2280.2875;19.393588518339;8.50488744
"Year_x";"T2";"B1";"P03";"i5";4;-35;-40;350;400;"Year_x_P03_i5";6022.3602625;54.7713117989577;793.846691125;3.4145971015555;4.301330647
"Year_x";"T2";"B1";"P03";"i5";5;-40;-60;400;600;"Year_x_P03_i5";8983.1935965;65.4196639696187;2960.833334;10.6483521706609;3.596403772
"Year_x";"T2";"B1";"P03";"i6";1;0;-10;0;100;"Year_x_P03_i6";1453.65;16.7085945769215;1453.65;16.7085945769215;11.49423491
"Year_x";"T2";"B1";"P03";"i6";2;-10;-20;100;200;"Year_x_P03_i6";2948.226071375;32.9045655155259;1494.576071375;16.1959709386044;10.836498221
"Year_x";"T2";"B1";"P03";"i6";3;-20;-35;200;350;"Year_x_P03_i6";5228.513571375;53.5365262689305;2280.2875;20.6319607534046;9.047964677
"Year_x";"T2";"B1";"P03";"i6";4;-35;-40;350;400;"Year_x_P03_i6";6022.3602625;58.7792239915;793.846691125;5.24269772256954;6.604169018
"Year_x";"T2";"B1";"P03";"i6";5;-40;-60;400;600;"Year_x_P03_i6";8983.1935965;70.3223473888966;2960.833334;11.5431233973966;3.898606269
"Year_x";"T2";"B2";"P04";"i7";1;0;-10;0;100;"Year_x_P04_i7";1521.925;18.4980721162258;1521.925;18.4980721162258;12.15439139
"Year_x";"T2";"B2";"P04";"i7";2;-10;-20;100;200;"Year_x_P04_i7";3032.4125;34.1661397366749;1510.4875;15.6680676204491;10.37285487
"Year_x";"T2";"B2";"P04";"i7";3;-20;-35;200;350;"Year_x_P04_i7";5325.9125;55.9459913387439;2293.5;21.779851602069;9.496338174
"Year_x";"T2";"B2";"P04";"i7";4;-35;-40;350;400;"Year_x_P04_i7";6102.9375;60.2599337012694;777.025;4.31394236252552;5.551870741
"Year_x";"T2";"B2";"P04";"i7";5;-40;-60;400;600;"Year_x_P04_i7";9063.770834;71.4391422223874;2960.833334;11.179208521118;3.775696657
"Year_x";"T2";"B2";"P04";"i8";1;0;-10;0;100;"Year_x_P04_i8";1521.925;20.0810771410208;1521.925;20.0810771410208;13.19452479
"Year_x";"T2";"B2";"P04";"i8";2;-10;-20;100;200;"Year_x_P04_i8";3032.4125;36.0294623005294;1510.4875;15.9483851595086;10.55843571
"Year_x";"T2";"B2";"P04";"i8";3;-20;-35;200;350;"Year_x_P04_i8";5325.9125;57.1635201791389;2293.5;21.1340578786095;9.214762537
"Year_x";"T2";"B2";"P04";"i8";4;-35;-40;350;400;"Year_x_P04_i8";6102.9375;61.2002602296;777.025;4.03674005046117;5.195122487
"Year_x";"T2";"B2";"P04";"i8";5;-40;-60;400;600;"Year_x_P04_i8";9063.770834;72.7218734777909;2960.833334;11.5216132481909;3.891341372
