"Campaign";"Treatment";"Block";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM";"SOC_stock_cum_ESM";"Soil_mass_ESM";"SOC_stock_ESM";"SOC_g_kg_ESM"
"Year_x";"T1";"B2";"P02";"i3";3;-19;-33;190;330;"Year_x_P02_i3";4898.26999999999;44.1886389637526;2146.1;16.3389904835716;7.61334070340226
"Year_x";"T1";"B2";"P02";"i3";4;-33;-38.2;330;382;"Year_x_P02_i3";5628.018;48.7068192753958;729.74800000001;4.51818031164322;6.19142541211919
"Year_x";"T1";"B2";"P02";"i3";5;-38.2;-58.4;382;584;"Year_x_P02_i3";8593.16666728;61.8198624372351;2965.14866728;13.1130431618393;4.4223897798245
"Year_x";"T2";"B1";"P03";"i5";1;0;-9.4;0;94;"Year_x_P03_i5";1365.312;15.9160243032211;1365.312;15.9160243032211;11.65742651
"Year_x";"T2";"B1";"P03";"i5";2;-9.4;-18.7;94;187;"Year_x_P03_i5";2753.827321375;30.0098325426304;1388.515321375;14.0938082394093;10.1502720369356
"Year_x";"T2";"B1";"P03";"i5";3;-18.7;-32.8;187;328;"Year_x_P03_i5";4884.87907137499;48.4341419544018;2131.05174999999;18.4243094117713;8.64564148278962
"Year_x";"T2";"B1";"P03";"i5";4;-32.8;-37.5;328;375;"Year_x_P03_i5";5625.43691693749;53.0640132481802;740.557845562501;4.62987129377848;6.25186988635816
"Year_x";"T2";"B1";"P03";"i5";5;-37.5;-57.4;375;574;"Year_x_P03_i5";8598.28526307999;64.0353781874328;2972.8483461425;10.9713649392526;3.69052291331605
"Year_x";"T2";"B1";"P03";"i6";1;0;-9.4;0;94;"Year_x_P03_i6";1365.312;15.6932168534419;1365.312;15.6932168534419;11.49423491
"Year_x";"T2";"B1";"P03";"i6";2;-9.4;-18.7;94;187;"Year_x_P03_i6";2753.827321375;30.7979638069862;1388.515321375;15.1047469535442;10.8783437395466
"Year_x";"T2";"B1";"P03";"i6";3;-18.7;-32.8;187;328;"Year_x_P03_i6";4884.87907137499;50.4273334511318;2131.05174999999;19.6293696441456;9.21111823968877
"Year_x";"T2";"B1";"P03";"i6";4;-32.8;-37.5;328;375;"Year_x_P03_i6";5625.43691693749;56.1578751302151;740.557845562501;5.73054167908332;7.73814187969423
"Year_x";"T2";"B1";"P03";"i6";5;-37.5;-57.4;375;574;"Year_x_P03_i6";8598.28526307999;68.8217413472348;2972.8483461425;12.6638662170198;4.2598426635022
"Year_x";"T2";"B2";"P04";"i7";1;0;-9;0;90;"Year_x_P04_i7";1370.165;16.6535216788794;1370.165;16.6535216788794;12.15439139
"Year_x";"T2";"B2";"P04";"i7";2;-9;-18.1;90;181;"Year_x_P04_i7";2747.55025;31.2113049594832;1377.38525;14.5577832806038;10.5691441668944
"Year_x";"T2";"B2";"P04";"i7";3;-18.1;-32.2;181;322;"Year_x_P04_i7";4890.33049999999;51.8095573642366;2142.78024999999;20.5982524047534;9.61286273044259
"Year_x";"T2";"B2";"P04";"i7";4;-32.2;-37;322;370;"Year_x_P04_i7";5636.72249999998;57.671568283754;746.391999999993;5.86201091951745;7.85379655665857
"Year_x";"T2";"B2";"P04";"i7";5;-37;-56.8;370;568;"Year_x_P04_i7";8590.03750055998;69.650468859009;2953.31500055999;11.978900575255;4.05608632095921
"Year_x";"T2";"B2";"P04";"i8";1;0;-9;0;90;"Year_x_P04_i8";1370.165;18.0786760588904;1370.165;18.0786760588904;13.19452479
"Year_x";"T2";"B2";"P04";"i8";2;-9;-18.1;90;181;"Year_x_P04_i8";2747.55025;33.0217625476986;1377.38525;14.9430864888082;10.8488794175836
"Year_x";"T2";"B2";"P04";"i8";3;-18.1;-32.2;181;322;"Year_x_P04_i8";4890.33049999999;53.1497354837476;2142.78024999999;20.127972936049;9.393391103007
"Year_x";"T2";"B2";"P04";"i8";4;-32.2;-37;322;370;"Year_x_P04_i8";5636.72249999998;58.7782161993236;746.391999999993;5.62848071557599;7.54091779597858
"Year_x";"T2";"B2";"P04";"i8";5;-37;-56.8;370;568;"Year_x_P04_i8";8590.03750055998;70.8784153580811;2953.31500055999;12.1001991587575;4.09715833104938
