"Campaign";"Treatment";"Block";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM2";"SOC_stock_cum_ESM2";"Soil_mass_ESM2";"SOC_stock_ESM2";"SOC_g_kg_ESM2"
"Year_x";"T1";"B2";"P02";"i3";5;-38.2669225298978;-58.7658551117179;382.669225298978;587.658551117179;"Year_x_P02_i3";8600;61.871884432157;2960;13.0502042998554;4.40885280400519
"Year_x";"T2";"B1";"P03";"i5";1;0;-9.50190620161332;0;95.0190620161332;"Year_x_P03_i5";1380;16.1584964748007;1380;16.1584964748007;11.7090554165222
"Year_x";"T2";"B1";"P03";"i5";2;-9.50190620161332;-18.7451762590575;95.0190620161332;187.451762590575;"Year_x_P03_i5";2760;30.1127497293537;1380;13.954253254553;10.1117777206906
"Year_x";"T2";"B1";"P03";"i5";3;-18.7451762590575;-32.8944252223411;187.451762590575;328.944252223411;"Year_x_P03_i5";4900;49.335986969212;2140;19.2232372398583;8.98282114012072
"Year_x";"T2";"B1";"P03";"i5";4;-32.8944252223411;-37.5990271144218;328.944252223411;375.990271144218;"Year_x_P03_i5";5640;53.3273236723521;740;3.99133670314006;5.39369824748656
"Year_x";"T2";"B1";"P03";"i5";5;-37.5990271144218;-57.1659800669285;375.990271144218;571.659800669285;"Year_x_P03_i5";8600;63.5046668811438;2960;10.1773432087917;3.43829162459181
"Year_x";"T2";"B1";"P03";"i6";1;0;-9.50190620161332;0;95.0190620161332;"Year_x_P03_i6";1380;15.878341545184;1380;15.878341545184;11.5060445979594
"Year_x";"T2";"B1";"P03";"i6";2;-9.50190620161332;-18.7451762590575;95.0190620161332;187.451762590575;"Year_x_P03_i6";2760;30.9439970186533;1380;15.0656554734693;10.9171416474415
"Year_x";"T2";"B1";"P03";"i6";3;-18.7451762590575;-32.8944252223411;187.451762590575;328.944252223411;"Year_x_P03_i6";4900;51.0360932702658;2140;20.0920962516124;9.38883002411796
"Year_x";"T2";"B1";"P03";"i6";4;-32.8944252223411;-37.5990271144218;328.944252223411;375.990271144218;"Year_x_P03_i6";5640;56.3869548700278;740;5.350861599762;7.23089405373243
"Year_x";"T2";"B1";"P03";"i6";5;-37.5990271144218;-57.1659800669285;375.990271144218;571.659800669285;"Year_x_P03_i6";8600;69.4855015438594;2960;13.0985466738316;4.42518468710528
"Year_x";"T2";"B2";"P04";"i7";1;0;-9.06179938550193;0;90.6179938550193;"Year_x_P04_i7";1380;16.93631774307;1380;16.93631774307;12.2726940167174
"Year_x";"T2";"B2";"P04";"i7";2;-9.06179938550193;-18.1983361152859;90.6179938550193;181.983361152859;"Year_x_P04_i7";2760;31.35513681155;1380;14.41881906848;10.4484196148406
"Year_x";"T2";"B2";"P04";"i7";3;-18.1983361152859;-32.2446830521001;181.983361152859;322.446830521001;"Year_x_P04_i7";4900;52.7322497544781;2140;21.3771129429281;9.98930511351778
"Year_x";"T2";"B2";"P04";"i7";4;-32.2446830521001;-37.0218386715489;322.446830521001;370.218386715489;"Year_x_P04_i7";5640;57.8910960473473;740;5.15884629286923;6.97141390928274
"Year_x";"T2";"B2";"P04";"i7";5;-37.0218386715489;-56.6887896802411;370.218386715489;566.887896802411;"Year_x_P04_i7";8600;69.6514768738145;2960;11.7603808264672;3.97310163056323
"Year_x";"T2";"B2";"P04";"i8";1;0;-9.06179938550193;0;90.6179938550193;"Year_x_P04_i8";1380;18.4372579069065;1380;18.4372579069065;13.3603318165989
"Year_x";"T2";"B2";"P04";"i8";2;-9.06179938550193;-18.1983361152859;90.6179938550193;181.983361152859;"Year_x_P04_i8";2760;33.2319577516404;1380;14.794699844734;10.7207969889376
"Year_x";"T2";"B2";"P04";"i8";3;-18.1983361152859;-32.2446830521001;181.983361152859;322.446830521001;"Year_x_P04_i8";4900;54.109063711924;2140;20.8771059602836;9.75565699078674
"Year_x";"T2";"B2";"P04";"i8";4;-32.2446830521001;-37.0218386715489;322.446830521001;370.218386715489;"Year_x_P04_i8";5640;58.9914802322836;740;4.88241652035952;6.597860162648
"Year_x";"T2";"B2";"P04";"i8";5;-37.0218386715489;-56.6887896802411;370.218386715489;566.887896802411;"Year_x_P04_i8";8600;70.6383893978007;2960;11.6469091655171;3.934766609972
