"Campaign";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum";"SOC_stock_cum_FD";"Soil_mass";"SOC_stock_FD";"SOC_g_kg"
"HR";4;"HR_P2";2;-15;-30;150;300;"HR_4_HR_P2";2798.8;28.2337552;1460.7;14.2827246;9.778
"HR";4;"HR_P3";1;0;-15;0;150;"HR_4_HR_P3";1017.2;12.1921592;1017.2;12.1921592;11.986
"HR";4;"HR_P3";2;-15;-30;150;300;"HR_4_HR_P3";2729.7;30.6974342;1712.5;18.505275;10.806
"PM";1;"PM_P4";1;0;-15;0;150;"PM_1_PM_P4";1751.4;26.7578892;1751.4;26.7578892;15.278
"PM";1;"PM_P4";2;-15;-30;150;300;"PM_1_PM_P4";3906.6;50.95863;2155.2;24.2007408;11.229
"PM";1;"PM_P6";1;0;-15;0;150;"PM_1_PM_P6";1758.3;24.5599344;1758.3;24.5599344;13.968
"PM";1;"PM_P6";2;-15;-30;150;300;"PM_1_PM_P6";3520.7;51.0858167999999;1762.4;26.5258823999999;15.051
"PM";2;"PM_P2";1;0;-15;0;150;"PM_2_PM_P2";1580.7;22.5818802;1580.7;22.5818802;14.286
"PM";2;"PM_P2";2;-15;-30;150;300;"PM_2_PM_P2";3552.8;44.9099964;1972.1;22.3281161999999;11.322
"PM";2;"PM_P3";1;0;-15;0;150;"PM_2_PM_P3";1352.4;23.186898;1352.4;23.186898;17.145
"PM";2;"PM_P3";2;-15;-30;150;300;"PM_2_PM_P3";3899.7;48.0179784;2547.3;24.8310804;9.748
"PM";3;"PM_P5";1;0;-15;0;150;"PM_3_PM_P5";1517.4;20.6184312;1517.4;20.6184312;13.588
"PM";3;"PM_P5";2;-15;-30;150;300;"PM_3_PM_P5";3615.7;41.7986714;2098.3;21.1802402;10.094
"PM";3;"PM_P8";1;0;-15;0;150;"PM_3_PM_P8";2262.6;22.2142068;2262.6;22.2142068;9.818
"PM";3;"PM_P8";2;-15;-30;150;300;"PM_3_PM_P8";4376.3;46.2237250999999;2113.69999999999;24.0095182999999;11.359
"PM";4;"PM_P1";1;0;-15;0;150;"PM_4_PM_P1";1398.2;20.0585772;1398.2;20.0585772;14.346
"PM";4;"PM_P1";2;-15;-30;150;300;"PM_4_PM_P1";3559.1;40.4056116;2160.9;20.3470344;9.416
"PM";4;"PM_P7";1;0;-15;0;150;"PM_4_PM_P7";1712.5;25.4237750000001;1712.5;25.4237750000001;14.846
"PM";4;"PM_P7";2;-15;-30;150;300;"PM_4_PM_P7";3789.6;43.9411215;2077.1;18.5173465;8.915
