"Campaign";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum_ESM";"SOC_stock_cum_ESM";"Soil_mass_ESM";"SOC_stock_ESM";"SOC_g_kg_ESM"
"HR";2;"HR_P6";2;-7.5;-20.2;75;202;"HR_2_HR_P6";1795.04133333334;27.6599973093332;1146.79133333334;16.9949883093332;14.8195995342365
"HR";3;"HR_P7";1;0;-7.8;0;78;"HR_3_HR_P7";647.816000000001;8.157299072;647.816000000001;8.157299072;12.592
"HR";3;"HR_P7";2;-7.8;-23;78;230;"HR_3_HR_P7";1802.38666666666;18.20678144;1154.57066666666;10.049482368;8.70408599329277
"HR";3;"HR_P8";1;0;-7.5;0;75;"HR_3_HR_P8";644.85;7.09012575000001;644.85;7.09012575000001;10.995
"HR";3;"HR_P8";2;-7.5;-22.8;75;228;"HR_3_HR_P8";1801.484;17.4172853;1156.634;10.3271595499999;8.92863217750816
"HR";4;"HR_P2";1;0;-7.2;0;72;"HR_4_HR_P2";642.288;6.696494688;642.288;6.696494688;10.426
"HR";4;"HR_P2";2;-7.2;-19.7;72;197;"HR_4_HR_P2";1795.786;18.426284308;1153.498;11.72978962;10.1688859625244
"HR";4;"HR_P3";1;0;-9.5;0;95;"HR_4_HR_P3";644.226666666667;7.72170082666668;644.226666666667;7.72170082666668;11.986
"HR";4;"HR_P3";2;-9.5;-21.8;95;218;"HR_4_HR_P3";1793.53333333334;20.5812172000001;1149.30666666667;12.8595163733334;11.1889339427829
"PM";1;"PM_P4";1;0;-5.5;0;55;"PM_1_PM_P4";642.18;9.81122604000001;642.18;9.81122604000001;15.278
"PM";1;"PM_P4";2;-5.5;-15.3;55;153;"PM_1_PM_P4";1794.504;27.2419040160001;1152.324;17.4306779760001;15.1265425140847
"PM";1;"PM_P6";1;0;-5.5;0;55;"PM_1_PM_P6";644.71;9.00530928;644.71;9.00530928;13.968
"PM";1;"PM_P6";2;-5.5;-15.3;55;153;"PM_1_PM_P6";1793.548;25.090452048;1148.838;16.085142768;14.0012279955921
"PM";2;"PM_P2";1;0;-6.1;0;61;"PM_2_PM_P2";642.818;9.183297948;642.818;9.183297948;14.286
"PM";2;"PM_P2";2;-6.1;-16.6;61;166;"PM_2_PM_P2";1791.05733333333;24.9635459279999;1148.23933333333;15.7802479799999;13.7429954904871
"PM";2;"PM_P3";1;0;-7.2;0;72;"PM_2_PM_P3";649.152;11.12971104;649.152;11.12971104;17.145
"PM";2;"PM_P3";2;-7.2;-17.6;72;176;"PM_2_PM_P3";1793.932;27.490951936;1144.78;16.361240896;14.292039427663
"PM";3;"PM_P5";1;0;-6.4;0;64;"PM_3_PM_P5";647.423999999999;8.79719731199999;647.423999999999;8.79719731199999;13.588
"PM";3;"PM_P5";2;-6.4;-17;64;170;"PM_3_PM_P5";1797.17333333333;23.4424632266666;1149.74933333333;14.6452659146666;12.7377903079164
"PM";3;"PM_P8";1;0;-4.3;0;43;"PM_3_PM_P8";648.612;6.36807261599999;648.612;6.36807261599999;9.818
"PM";3;"PM_P8";2;-4.3;-11.9;43;119;"PM_3_PM_P8";1794.996;17.623270728;1146.384;11.255198112;9.818
"PM";4;"PM_P1";1;0;-6.9;0;69;"PM_4_PM_P1";643.171999999999;9.226945512;643.171999999999;9.226945512;14.346
"PM";4;"PM_P1";2;-6.9;-17.8;69;178;"PM_4_PM_P1";1801.568;23.856690288;1158.396;14.629744776;12.6293122351942
"PM";4;"PM_P7";1;0;-5.6;0;56;"PM_4_PM_P7";639.333333333335;9.49154266666669;639.333333333335;9.49154266666669;14.846
"PM";4;"PM_P7";2;-5.6;-15.6;56;156;"PM_4_PM_P7";1795.58400000001;26.1644688600002;1156.25066666667;16.6729261933335;14.4198197449688
